instance,AVG,BF,BKS,RPD,PI,runs,time_avg_s
10berlin52,4244.0,4244.0,4244.0,0.0,0.0,1,0.00043589600045379484
10eil51,194.0,194.0,194.0,0.0,0.0,1,0.00024744199981796555
10eil76,191.0,191.0,191.0,0.0,0.0,1,0.000978668999778165
10kroB100,9325.0,9325.0,9325.0,0.0,0.0,1,0.0017885560000650003
10pr76,43589.0,43589.0,43589.0,0.0,0.0,1,0.0007467449995601783
10rat99,523.0,523.0,523.0,0.0,0.0,1,0.0010861009996006032
10st70,277.0,277.0,277.0,0.0,0.0,1,0.00045623200003319653
15berlin52,4329.0,4329.0,4329.0,0.0,0.0,1,0.00031818600018596044
15eil51,203.0,203.0,203.0,0.0,0.0,1,0.0002406390003670822
15eil76,240.0,240.0,240.0,0.0,0.0,1,0.0006648139997196267
15pr76,53391.0,53391.0,53391.0,0.0,0.0,1,0.000967583000601735
15st70,371.0,371.0,371.0,0.0,0.0,1,0.0005153590000190889
25eil101,332.0,332.0,332.0,0.0,0.0,1,0.0015752079998492263
25kroA100,11985.0,11985.0,11985.0,0.0,0.0,1,0.002999108000039996
25lin105,9280.0,9280.0,9280.0,0.0,0.0,1,0.001695603000371193
25rat99,694.0,694.0,694.0,0.0,0.0,1,0.0011705099996106583
50eil101,418.0,418.0,418.0,0.0,0.0,1,0.0034304359996895073
50kroA100,15469.0,15469.0,15469.0,0.0,0.0,1,0.0038759219996791217
50kroB100,15895.0,15895.0,15895.0,0.0,0.0,1,0.003666647000500234
50lin105,11225.0,11225.0,11225.0,0.0,0.0,1,0.0037786169996252283
50rat99,851.0,851.0,851.0,0.0,0.0,1,0.003447826000410714
5berlin52,3427.0,3427.0,3427.0,0.0,0.0,1,0.00024276699969050242
5eil51,140.0,140.0,140.0,0.0,0.0,1,0.000155235999955039
5eil76,163.0,163.0,163.0,0.0,0.0,1,0.0005976239999654354
5pr76,37596.0,37596.0,37596.0,0.0,0.0,1,0.000727956999980961
5st70,240.0,240.0,240.0,0.0,0.0,1,0.0005979709994790028
75lin105,12085.0,12085.0,12085.0,0.0,0.0,1,0.00811385999986669
